message,label
Hello! Awesome remote job opportunity. Earn $300 per day by rating apps online. It takes only 30 minutes a day. Payment sent via USDT or bank wire. Interested? Add our manager on Telegram: @app_ranking_pro,fake
"Hi Natalie, I hope you're doing well. I'm a recruiter at Pinterest, and I'm currently looking for an ML Data Scientist to join our Ads Ranking team. I noticed your published work on recommendation systems and deep learning. Your academic and practical background seems like a fantastic match for the technical challenges our team faces. Would you be open to a brief connection call this Thursday afternoon?",real
"Hi Harrison, I am currently leading the search for a Principal Data Scientist for a fast-growing digital health platform based in Austin, TX. I found your profile and was impressed by your 7+ years of experience deploying predictive health algorithms into enterprise healthcare frameworks. The role offers a competitive base salary, equity, and full benefits. Let me know if you'd be open to a confidential chat. Best, Robert Half Search.",real
"Hi Eric, I hope your week is off to a great start. I am a corporate sourcer at HubSpot, and I am currently building a pipeline for a Senior Product Data Analyst position within our Core Platform organization. I noticed you have over four years of experience driving metrics and experimentation strategies using SQL and Looker. I'd love to share our technical map. Let me know if you have time for a brief call. Thanks!",real
"Dear Applicant, Your background matches our needs for a remote data verification specialist. Pay is $52/hr. The interview will take place via text chat on Telegram app. Please search for @recruitment_division_hub.",fake
"URGENT JOB AD: Earn $300-$600 daily doing simple tasks from your mobile device. Flexible working hours, completely remote. No previous knowledge required. Contact our HR manager on WhatsApp: +12025550188.",fake
"Hello! This is an incredible opportunity to work entirely from home. We need data transcribers to log shipping invoices. Pay is $300 daily via PayPal, CashApp, or Crypto. If you are interested, please reply with your full legal name, phone number, and SSN for immediate background checks.",fake
"Dear Applicant, thank you for your interest in the Business Intelligence Engineer position at Amazon Web Services (AWS). We have received your application and would like to invite you to complete our online analytical assessment. This evaluation measures SQL mastery and interpretation of cloud operational metrics. Instructions can be accessed directly inside your AWS candidate portal. Best, Amazon Global Talent Acquisition.",real
"Hi Taylor, I'm a technical recruiter at Netflix. I saw your open-source contribution to the scikit-learn library and wanted to reach out. Our Personalization Data Science team is looking for a Senior Engineer who is passionate about algorithmic development and large-scale experiments. If you're open to a confidential conversation about what we're planning for next year, let's connect. Thanks, Chris.",real
Urgent job opportunity! Earn up to $4000 monthly working from your home comfort. All you need is an active internet connection and a smartphone. Message us directly on WhatsApp to get started today: +13125550174.,fake
"Urgent Data Input position open. $42/hr. Full company benefits package after 30 days. Hardwares provided by company. To apply, click this link and complete a quick credit screening to ensure background eligibility: http://secure-identity-check-portal.com",fake
"Dear Candidate, I am an internal scout from Infosys. We reviewed your profile and want to extend a remote Data Coordinator offer. The screening process will be completed entirely through WhatsApp text messaging. Please add our team lead at +16465550194.",fake
"Dear Candidate, Thank you for completing our technical take-home coding assignment for the Junior Data Scientist track at Wayfair. We are pleased to notify you that you have cleared the evaluation bar, and we want to invite you to our virtual onsite panel round. This will comprise two technical case studies and an organizational behavioral fit round. Our scheduling coordinator will connect with you shortly. Sincerely, Wayfair Careers.",real
Hello! Excellent remote employment opportunity. Earn $350 daily by rating mobile apps online. Requires 45 minutes of daily engagement. Payouts issued via USDT or bank transfer. Intrigued? Message our team on Telegram: @app_tier_optimization,fake
"Dear candidate, we are pleased to inform you that you have been hired for the remote position of Junior Data Analyst. Your starting pay is $50/hour. To finalize your contract, please send your routing number and account number to this email so we can set up direct deposit.",fake
"Dear Candidate, thank you for submitting your application for the Quantitative Analytics Program at BlackRock. We are writing to let you know that our selection committee is actively evaluating all submitted profiles. We expect to send invitations for the first-round HireVue technical evaluations by the middle of next week. We appreciate your patience. Sincerely, BlackRock Early Careers Team.",real
"Hi Derek, I am a technical sourcer at Twitch. I saw your open-source projects on streaming video analytics and telemetry processing. Our Content Science team is looking for an ML Engineer to work on real-time recommendation feeds. This is a full-time position based in San Francisco, CA. Let me know if you have some time this week for a brief, exploratory video call. Thanks, Dave.",real
"Hi Austin, I hope you're having a great week. I am a recruiter at Epic Games, and I am currently sourcing for a Data Engineer to join our infrastructure team. I noticed your experience optimizing massive data pipelines using Spark, Kafka, and Snowflake. I’d love to jump on a short introductory call to share more about the scale of data we handle and see if it aligns with your interests. Let me know, thanks!",real
"Hi Haley, I am currently leading the search for a Senior Data Analyst at DraftKings for our marketing analytics team in Boston. I saw your profile and noticed your background running attribution modeling and marketing mix modeling in your previous role. The position is hybrid with 2 days in the office. Let me know if you'd be open to reviewing the job description and having a brief chat. Best, Alisha.",real
"JOB ALERT: We are looking for work-from-home data collection specialists. Receive a sign-on bonus of $2,500 after completing your first week of logging. You must purchase your own software activation key from our supplier using a check we will email you. Print and deposit it via your banking app.",fake
"Hello, I am a recruiter from Express Employment. We have a direct remote opening for an administrative data loader. Pay is $38/hr. No phone screen required, only a written test on Telegram. Add @express_employment_desk.",fake
"Hi Isabella, I'm a recruiter at LinkedIn. I noticed your impressive background in building trust and safety metrics at your current company. We are currently looking for a Senior Data Scientist to join our Ecosystem Quality team in Sunnyvale. Your profile stands out as an excellent technical fit. Would you be open to an introductory 15-minute sync this Tuesday or Wednesday? Best, Andrew.",real
"Hi there, thank you for taking the time to apply for the Data Scientist, Product Analytics position at DoorDash. We have successfully reviewed your background and would love to move you forward to our initial phone assessment phase. This will be a 45-minute video call via Zoom focusing on SQL mechanics and experiment design. Please use this Calendly link to select a time: [Link]. Looking forward to speaking!",real
"Hi Ashley, our mutual colleague, Dr. Aris, passed along your contact info and highly recommended your work in predictive sequence modeling. I'm currently leading the tech search for a Senior Data Scientist at Vertex Pharmaceuticals to work on clinical pipeline automation. The position is hybrid out of our Boston, MA office. Let's connect for a brief 10-minute phone call next Tuesday morning if you are free.",real
"Hi, I am Nina from Randstad Staffing. We are sourcing remote operators to optimize digital marketplace rankings. Earn $250 per day paid via Bitcoin or direct wire. Connect via Telegram: @randstad_marketplace_tasks",fake
Hi! Looking for a secondary income source? We provide high-paying remote roles. Earn up to $600/day by completing e-commerce product audits. No formal interview needed. Join our Telegram channel: @ecom_audit_specialists,fake
"Dear Candidate, Thank you for participating in the final interview round for the Data Scientist position at Zoom. Our hiring committee is currently reviewing feedback from all the interviewers. We expect to make a final decision and get back to you with an update by Friday afternoon. Thank you again for investing your time with us throughout this process. Sincerely, Zoom Talent Acquisition.",real
